train_loss,train_accuracy,valid_loss,valid_accuracy
2.2789641860198975,0.134,2.2533784358978273,0.1878
2.2312806650543213,0.2141,2.207927244567871,0.2268
2.186157726516724,0.24994,2.1647732940673827,0.2444
2.143825361328125,0.27398,2.1245953506469726,0.2637
2.1051796256256106,0.29086,2.088698968887329,0.2759
2.0704888256073,0.30306,2.056435073852539,0.2886
2.039644903488159,0.3113,2.027785500717163,0.3002
2.0124241842651367,0.318,2.002644616508484,0.3058
1.9888988890838624,0.32424,1.9811527158737183,0.3116
1.9683462117385864,0.32862,1.9618044500350953,0.3152
1.9504183715057373,0.33368,1.9453943922042847,0.3193
1.9344858450698852,0.33818,1.9312622121810914,0.3209
1.9205536031341552,0.34114,1.917891212463379,0.3267
1.9082738061523437,0.3441,1.9064318422317506,0.3314
1.897305961265564,0.34734,1.8964589853286744,0.3336
1.8875117138290405,0.35004,1.8875575450897217,0.339
1.8787043984603882,0.3524,1.8797852352142335,0.3399
1.8706780614089966,0.3549,1.8723112718582153,0.3456
1.862964063949585,0.35736,1.8658297744750976,0.347
1.8559862080001832,0.36068,1.8599808214187623,0.3478
1.8494832180023193,0.36188,1.8531136457443238,0.3505
1.843125873222351,0.36532,1.847651354789734,0.3518
1.837139189453125,0.36706,1.8428888975143434,0.354
1.8316632421875,0.3692,1.8373124128341676,0.3571
1.8264506299209595,0.37014,1.8326494089126586,0.3586
1.8212345265579224,0.3723,1.827301693725586,0.3617
1.8162430305862427,0.37462,1.8218396364212037,0.3647
1.811528076133728,0.37612,1.8171899362564088,0.3653
1.8069387705230713,0.37796,1.8125540634155273,0.3669
1.8030593530273438,0.37942,1.8066551536560058,0.3703
1.7986013913726806,0.38096,1.800930318069458,0.3723
1.79412116355896,0.38176,1.7949900875091553,0.3752
1.7902081634140015,0.38322,1.789772815132141,0.3764
1.7855781690979005,0.38504,1.7845115894317627,0.3788
1.7818399794769286,0.38562,1.7796802444458009,0.38
1.777718599395752,0.38724,1.7733412466049194,0.3846
1.7735465717315675,0.38862,1.7688017930984496,0.3833
1.7693662595748902,0.38936,1.7637920707702637,0.386
1.7646675201034545,0.39092,1.7603027961730957,0.3879
1.7622694686889648,0.39144,1.7555921733856201,0.3915
1.754125097427368,0.39502,1.752841124534607,0.3903
1.764354664001465,0.39014,1.7496584796905517,0.3981
1.7479479368591309,0.39494,1.806593332862854,0.3638
1.7798057957077027,0.38238,1.7394728157043458,0.3985
1.7405710402679444,0.3982,1.738497074508667,0.3969
1.747498140449524,0.39496,1.7325898237228394,0.4037
1.7301855476760863,0.4015,1.7597456474304198,0.3842
1.7599484305953979,0.38856,1.7235726272583007,0.4049
1.7255213135528564,0.40406,1.727111601448059,0.3979
1.7396473274612427,0.39718,1.7180244665145874,0.4073
1.7169792012023926,0.40626,1.7461425861358641,0.3886
1.7448921868515015,0.39472,1.710453434753418,0.4083
1.7129953792953492,0.40794,1.7108404455184936,0.405
1.7200372365188599,0.4042,1.7045938301086425,0.4121
1.7035762494277955,0.4102,1.7344288885116577,0.3942
1.732655436592102,0.39766,1.6975202098846436,0.4126
1.700648915977478,0.41046,1.6964600391387938,0.4126
1.7042744845581055,0.40952,1.6932590003967285,0.4174
1.6922727808380127,0.41374,1.7507292594909667,0.3835
1.7218425991439819,0.40154,1.6883334239959717,0.4155
1.6895346564483642,0.4138,1.6811017477035521,0.4187
1.691417212638855,0.41288,1.688674328804016,0.4118
1.683710302734375,0.41302,1.7181005178451538,0.3982
1.708088808708191,0.40298,1.6747860288619996,0.4203
1.6825145003128053,0.41574,1.6696817279815674,0.424
1.669746982650757,0.42124,1.6924704103469848,0.4082
1.6972812702178954,0.4104,1.6662994590759277,0.4241
1.664444638633728,0.42304,1.6740667503356934,0.4161
1.6909568949127198,0.41006,1.6642585289001466,0.4237
1.6664252243423463,0.42106,1.6574091207504273,0.4275
1.6744219821166992,0.41528,1.6607580430984497,0.4214
1.6572619577026366,0.4227,1.6638718503952026,0.4215
1.6794118998718262,0.41304,1.6488211086273192,0.4281
1.650824384918213,0.42792,1.6449075672149658,0.4313
1.6579916159057617,0.42336,1.651155206680298,0.4258
1.6571156001663208,0.42198,1.7292633041381835,0.3937
1.667709860496521,0.41878,1.6477518251419068,0.4245
1.6534498317337036,0.4267,1.6353229816436767,0.4345
1.6493611335754395,0.42514,1.6465344985961914,0.4212
1.6444986213684083,0.42836,1.6289868097305298,0.4358
1.6448444734954835,0.42654,1.6391900379180908,0.4262
1.6338547499847411,0.43072,1.678621729850769,0.4118
1.6586251309967042,0.41928,1.6253182174682617,0.4337
1.629411226539612,0.43428,1.6180042922973632,0.4388
1.6223371781158447,0.4346,1.6321377138137818,0.4261
1.6328903471755982,0.432,1.614969711303711,0.4409
1.6290926541519164,0.43116,1.6297102293014527,0.4263
1.629470078277588,0.42954,1.7131472539901733,0.3981
1.6402618319320679,0.42656,1.6165573554992676,0.4354
1.6201171336364746,0.43784,1.6047879720687865,0.4436
1.6060710721588134,0.44254,1.625601791572571,0.432
1.6309560111999513,0.4313,1.6144538570404052,0.4314
1.6166364911651612,0.43398,1.6795328680038453,0.4094
1.6260628133392334,0.43008,1.6079432662963866,0.438
1.6085296174621582,0.44134,1.5925804580688476,0.4466
1.5985071360778809,0.44314,1.6098263244628905,0.4334
1.6042050217056274,0.4392,1.6497820362091065,0.4194
1.6231474699020385,0.43084,1.592826993370056,0.443
1.595306939125061,0.44498,1.5857738943099975,0.4492
1.597636283493042,0.4429,1.6027265762329101,0.4355
