Model,Dataset,Trainable_Parameters,FLOPs,Accuracy,Robustness,Speed
resnet_baseline,Clean,51813,3647147008,0.492,1.0,0.003911353300113489
resnet_baseline,Blur_Little,51813,3647147008,0.3982574257425743,0.8094663124849071,0.0038445364319451966
resnet_baseline,Blur_Medium,51813,3647147008,0.2881188118811881,0.585607341221927,0.003939010336847589
resnet_baseline,Downsampled,51813,3647147008,0.16776237623762377,0.3409804395073654,0.0028189071711927356
resnet_baseline,Masked,51813,3647147008,0.4495841584158416,0.9137889398695968,0.004692456670326761
resnet_baseline,Noise_Rotation,51813,3647147008,0.42914851485148514,0.8722530789664332,0.004901325150291519
