Model,Trainable_Parameters,FLOPs,Accuracy,Speed,Variant_Accuracy,Variant_Robustness,Variant_Speed
effnet_adapter,598661.0,5869005440.0,0.6605544554455446,0.0087063095451581,0.49474059405940596,0.7489777564602194,0.00838623863446826
effnet_baseline,129381.0,5801568896.0,0.4533069306930693,0.0092322479191392,0.3085544554455445,0.6806744714310675,0.00924494863075782
effnet_batchnorm,283253.0,5801568896.0,0.8124752475247525,0.0086074232158094,0.653869306930693,0.8047867414087253,0.00806053599933582
effnet_lora,3942573.0,5801568896.0,0.8217821782178217,0.0092404803663197,0.6649425742574258,0.8091469879518073,0.0088370061685543
resnet_adapter,315237.0,3672837120.0,0.5736237623762376,0.0041421815853307,0.4107722772277228,0.7161005247169291,0.004050479154303481
resnet_baseline,51813.0,3647147008.0,0.492,0.0039113533001134,0.34657425742574255,0.7044192224100458,0.0040392471521207
resnet_batchnorm,61413.0,3647147008.0,0.6586138613861386,0.1465751839722737,0.48138613861386137,0.7309079975947083,0.14223858705841663
resnet_lora,609533.0,3647147008.0,0.7122376237623762,0.0041833731490786,0.5379881188118812,0.7553491992882563,0.00398571835130742
