Model,Dataset,Trainable_Parameters,FLOPs,Accuracy,Robustness,Speed
effnet_baseline,Clean,129381,5801568896,0.4533069306930693,1.0,0.009232247919139295
effnet_baseline,Blur_Little,129381,5801568896,0.34221782178217824,0.754936222261052,0.008833138890785746
effnet_baseline,Blur_Medium,129381,5801568896,0.2106138613861386,0.4646164598986545,0.008823016289437172
effnet_baseline,Downsampled,129381,5801568896,0.1232079207920792,0.27179800803774246,0.008623540170121902
effnet_baseline,Masked,129381,5801568896,0.43976237623762376,0.9701205661366415,0.011223692554058414
effnet_baseline,Noise_Rotation,129381,5801568896,0.42697029702970296,0.9419011008212476,0.008721355249386022
