Model,Dataset,Trainable_Parameters,FLOPs,Accuracy,Robustness,Speed
resnet_adapter,Clean,315237,3672837120,0.5736237623762376,1.0,0.004142181585330774
resnet_adapter,Blur_Little,315237,3672837120,0.4758019801980198,0.8294669980668324,0.004047499656677246
resnet_adapter,Blur_Medium,315237,3672837120,0.34170297029702973,0.595691797845899,0.004022193899249086
resnet_adapter,Downsampled,315237,3672837120,0.19825742574257427,0.34562275614471144,0.0028844803913985148
resnet_adapter,Masked,315237,3672837120,0.5281980198019802,0.9208091687379178,0.004597307403488914
resnet_adapter,Noise_Rotation,315237,3672837120,0.5099009900990099,0.8889119027892848,0.00470091442070385
